account_id,account_name,total_transactions,total_sent_transactions,total_received_transactions,total_amount_sent,total_amount_received,average_transaction_amount,average_daily_amount,maximum_transaction_amount,minimum_transaction_amount,night_transactions,frequent_receiver,frequent_receiver_count,fraud_transactions
A0032,ABC Pvt Ltd,176,102,74,1725554,2017397,16917.2,20789.81,421906,62,40,A0104,3,6
A0033,ABC Pvt Ltd,164,87,77,936601,709899,10765.53,12007.71,366606,82,34,A0249,3,3
A0034,Arjun Singh,157,79,78,769213,480881,9736.87,10833.99,235975,162,21,A0475,3,3
A0035,CareFoundation,160,95,65,660447,1008811,6952.07,7769.96,433885,140,32,A0425,4,1
A0036,SmileTrust,177,101,76,1399939,466700,13860.78,15383.95,451018,87,45,A0440,2,6
A0037,TechWorld37,271,82,189,510292,2357760,6223.07,6459.39,179922,86,31,A0371,2,2
A0038,Kavya Kulkarni,183,102,81,989235,1176220,9698.38,11241.31,383936,89,40,A0043,3,4
A0039,Divya Singh,188,105,83,1340199,953734,12763.8,14257.44,414174,96,40,A0055,3,7
A0040,KarnatakaTransport,176,97,79,902176,581999,9300.78,10613.84,380909,94,29,A0349,2,3
A0041,Manoj Reddy,196,112,84,479909,1005314,4284.9,5332.32,124821,50,37,A0369,3,2
A0042,Pooja Kulkarni,174,91,83,1901474,1285350,20895.32,24377.87,499684,69,30,A0309,3,5
A0043,Deepa Verma,170,96,74,1105319,404999,11513.74,12704.82,333922,130,26,A0374,3,5
A0044,Rahul Sharma,196,118,78,1316491,543974,11156.7,12303.65,398816,172,35,A0114,3,4
A0045,CareFoundation,197,113,84,1757652,990888,15554.44,17576.52,495298,54,37,A0404,2,8
A0046,Kavya Kulkarni,177,91,86,534555,787867,5874.23,6599.44,192333,185,27,A0055,3,2
A0047,Pooja Singh,173,93,80,766824,2100565,8245.42,9466.96,192768,260,34,A0331,2,4
A0048,Nova Solutions,157,87,70,975804,761309,11216.14,12510.31,276573,118,29,A0304,2,5
A0049,Arjun Verma,173,86,87,421448,1021658,4900.56,5473.35,96176,97,23,A0072,3,3
A0050,SmartElectronics42,279,96,183,1508069,3082452,15709.05,18391.09,407873,58,28,A0215,3,6
A0051,Charan Rao,182,103,79,911215,781465,8846.75,9798.01,218271,71,45,A0057,3,5
A0052,Anjali Sharma,153,81,72,2198865,1982669,27146.48,30121.44,422387,193,25,A0167,2,10
A0053,FreshMart70,311,108,203,1075389,1808321,9957.31,11948.77,196069,96,36,A0184,2,5
A0054,Rohan Gupta,185,92,93,771247,762707,8383.12,9405.45,380061,135,32,A0187,2,3
A0055,TechWorld21,283,92,191,1058061,2402292,11500.66,13062.48,386687,166,34,A0187,3,5
A0056,BESCOM,256,87,169,4979683,10633310,57237.74,66395.77,438669,205,34,A0141,2,33
A0057,CityPharmacy40,255,94,161,625803,1789659,6657.48,7450.04,193089,107,33,A0426,2,3
A0058,FreshMart17,283,85,198,860717,1777084,10126.08,11325.22,324455,87,32,A0311,2,3
A0059,Varun Patel,202,113,89,1163168,720224,10293.52,11292.89,194177,62,43,A0198,3,6
A0060,Rahul Reddy,186,95,91,687853,1500665,7240.56,8287.39,350562,72,34,A0373,3,2
A0061,MegaStore95,272,74,198,331446,1393637,4479.0,5021.91,152203,59,26,A0294,3,1
A0062,Deepa Shetty,179,107,72,321233,492129,3002.18,3569.26,63604,57,27,A0447,3,1
A0063,Meera Verma,179,90,89,1123868,792949,12487.42,13874.91,433553,166,38,A0176,2,4
A0064,Deepa Kulkarni,173,96,77,921180,753078,9595.62,10588.28,420053,50,30,A0097,3,3
A0065,Pooja Verma,159,89,70,5605797,4478594,62986.48,70959.46,439171,138,31,A0316,2,41
A0066,Sneha Reddy,184,90,94,1435379,939018,15948.66,17720.73,423893,99,28,A0055,3,7
A0067,Arjun Shetty,185,97,88,1593540,1714235,16428.25,18747.53,392402,90,34,A0470,2,5
A0068,Anjali Patel,180,110,70,272129,188209,2473.9,2894.99,4922,77,46,A0460,2,0
A0069,Sneha Patel,179,112,67,825070,381058,7366.7,8505.88,307440,79,42,A0168,3,4
A0070,DailyNeeds20,310,114,196,1888284,1911430,16563.89,19466.85,452363,65,33,A0001,3,9
A0071,Charan Gupta,198,105,93,1039535,1458856,9900.33,11423.46,193736,59,35,A0492,2,5
A0072,Anjali Kulkarni,188,116,72,1125291,742643,9700.78,11845.17,378688,66,31,A0374,3,4
A0073,XYZ Logistics,174,102,72,1758446,720106,17239.67,20687.6,406969,52,32,A0472,3,7
A0074,XYZ Logistics,187,111,76,1272425,844002,11463.29,12598.27,443405,112,40,A0097,3,4
A0075,DailyNeeds91,297,119,178,1340514,2609920,11264.82,13272.42,469611,71,42,A0486,2,4
A0076,Arjun Kulkarni,189,98,91,1190207,962772,12144.97,13680.54,472777,78,29,A0187,3,7
A0077,Kiran Patel,177,92,85,1143454,1170289,12428.85,13452.4,232693,55,29,A0127,2,5
A0078,IncomeTax,175,77,98,1602427,2101896,20810.74,22891.81,493062,101,19,A0433,3,7
A0079,Manoj Shetty,201,109,92,6254277,6132452,57378.69,67250.29,382982,153,35,A0425,3,42
A0080,Anjali Singh,174,92,82,238102,1941295,2588.07,2976.28,4953,66,28,A0120,2,0
A0081,Arjun Reddy,179,111,68,1238582,591762,11158.4,12142.96,347911,94,48,A0425,3,6
A0082,Pooja Shetty,188,91,97,587540,1266374,6456.48,7165.12,383598,102,30,A0224,3,1
A0083,Varun Patel,182,106,76,933873,374907,8810.12,10986.74,352755,160,30,A0222,3,3
A0084,Sneha Sharma,189,108,81,1002946,879867,9286.54,10339.65,316761,170,31,A0263,3,4
A0085,Sneha Gupta,193,113,80,1903532,836367,16845.42,19035.32,406219,91,33,A0341,3,9
A0086,KarnatakaTransport,188,98,90,595991,1040671,6081.54,6622.12,182675,170,27,A0167,3,3
A0087,Deepa Singh,167,100,67,1294639,1344555,12946.39,14880.91,435425,76,38,A0291,3,5
A0088,Pooja Shetty,169,97,72,5490799,3467610,56606.18,63846.5,455192,118,38,A0105,2,38
A0089,Kavya Rao,179,96,83,1319040,1321403,13740.0,15337.67,475693,81,35,A0363,3,5
A0090,Kavya Shetty,165,82,83,839688,1211819,10240.1,11048.53,385395,85,32,A0243,2,3
A0091,Meera Shetty,171,90,81,1033818,824089,11486.87,12455.64,280412,103,35,A0389,3,5
A0092,Divya Singh,181,108,73,585518,478788,5421.46,6228.91,182626,171,42,A0430,3,3
A0093,Deepa Sharma,162,82,80,689504,1026340,8408.59,9072.42,298215,89,31,A0097,3,2
A0094,KarnatakaGas,265,106,159,963791,2610565,9092.37,10475.99,213296,72,32,A0449,2,4
A0095,TechWorld36,321,120,201,1110199,3461540,9251.66,11564.57,305442,52,37,A0353,3,5
A0096,Priya Gupta,163,79,84,1099592,460911,13918.89,15062.9,157781,193,30,A0288,2,8
A0097,CityPharmacy47,298,116,182,958166,1684959,8260.05,9039.3,383861,84,39,A0022,3,4
A0098,KarnatakaGas,273,117,156,542384,1386085,4635.76,5709.31,261797,89,38,A0238,2,1
A0099,CityPharmacy69,301,115,186,1519228,2268633,13210.68,15991.87,318250,68,46,A0132,2,6
A0100,IncomeTax,176,89,87,526691,674583,5917.88,6666.97,182079,122,23,A0066,3,2
A0101,Manoj Verma,180,92,88,214762,1428349,2334.37,2556.69,4986,78,32,A0040,3,0
A0102,Charan Gupta,170,97,73,1154232,824540,11899.3,13421.3,356224,75,35,A0287,2,3
A0103,Deepa Nair,177,107,70,863763,507160,8072.55,9705.2,301926,79,39,A0447,4,3
A0104,SmartElectronics36,292,108,184,983502,3165359,9106.5,10575.29,454270,100,34,A0437,2,3
A0105,Asha Sharma,201,117,84,2188419,1241038,18704.44,21884.19,469053,97,37,A0371,3,10
A0106,TechWorld5,283,108,175,699929,2714625,6480.82,7691.53,308003,114,34,A0095,2,2
A0107,Rohan Nair,185,102,83,1238673,717464,12143.85,14075.83,378435,127,33,A0288,2,5
A0108,PowerGrid,252,99,153,6724790,9245357,67927.17,80057.02,198770,121,41,A0016,3,53
A0109,ABC Pvt Ltd,162,87,75,6206066,4336951,71334.09,86195.36,444454,644,25,A0037,3,43
A0110,Vikram Reddy,178,90,88,650958,1084376,7232.87,8239.97,171081,74,22,A0260,2,3
A0111,Kiran Rao,187,110,77,710067,323588,6455.15,7245.58,239196,142,36,A0147,3,3
A0112,Rohan Gupta,171,94,77,1292319,1181261,13748.07,15570.11,372706,118,30,A0184,2,6
A0113,ABC Pvt Ltd,195,115,80,929528,1188843,8082.85,9295.28,347490,103,39,A0426,3,3
A0114,DailyNeeds65,291,103,188,1437432,3127600,13955.65,16714.33,286360,118,42,A0157,3,7
A0115,Nikhil Sharma,183,101,82,835797,1724859,8275.22,9497.69,203559,62,28,A0122,3,4
A0116,DailyNeeds1,314,100,214,1596217,1780244,15962.17,18560.66,488988,130,27,A0353,3,5
A0117,Meera Singh,211,107,104,393192,1276060,3674.69,4417.89,142091,55,35,A0271,2,1
A0118,ABC Pvt Ltd,175,104,71,1435670,1065137,13804.52,15605.11,252302,76,38,A0099,2,6
A0119,PassportOffice,185,99,86,1798433,1894443,18165.99,20912.01,458813,86,39,A0012,3,5
A0120,Charan Verma,182,101,81,944175,657050,9348.27,10490.83,359051,76,32,A0243,2,3
A0121,Vikram Kulkarni,194,100,94,858233,1679327,8582.33,10340.16,293292,78,39,A0454,3,3
A0122,MegaStore6,296,109,187,963011,2401865,8834.96,9927.95,338423,73,24,A0395,3,5
A0123,Charan Kulkarni,177,90,87,1037634,955199,11529.27,12970.42,360923,50,27,A0200,3,3
A0124,Kiran Verma,177,105,72,1442188,700041,13735.12,16388.5,372867,135,34,A0098,4,4
A0125,Manoj Reddy,190,107,83,919299,887560,8591.58,9779.78,193997,50,38,A0056,2,4
A0126,Rohan Sharma,189,104,85,1730862,1411377,16642.9,18813.72,488422,53,36,A0139,2,5
A0127,CityWater,255,106,149,1009239,2488409,9521.12,10736.59,350194,96,32,A0238,4,5
A0128,Varun Singh,167,97,70,1343788,1350336,13853.48,17009.97,446333,138,31,A0341,3,6
A0129,Varun Rao,176,98,78,1616435,746531,16494.23,17381.02,439257,53,34,A0394,3,5
A0130,SmartElectronics19,293,95,198,1162768,3069096,12239.66,14009.25,390705,50,22,A0244,2,5
A0131,Rahul Gupta,175,96,79,1317416,447184,13723.08,15142.71,480836,62,38,A0185,2,6
A0132,Kiran Verma,190,107,83,1873835,603351,17512.48,20820.39,494406,65,42,A0489,3,7
A0133,DailyNeeds98,281,122,159,2039041,954807,16713.45,19419.44,362570,68,40,A0050,3,8
A0134,Divya Singh,203,107,96,896153,1769205,8375.26,9957.26,162373,257,39,A0369,3,5
A0135,Rahul Kulkarni,191,107,84,255494,1217116,2387.79,2633.96,4999,53,34,A0315,2,0
A0136,ABC Pvt Ltd,192,106,86,629938,1177294,5942.81,6999.31,160105,67,31,A0481,2,3
A0137,Vikram Verma,166,90,76,481644,412984,5351.6,5873.71,106929,50,32,A0306,3,3
A0138,Amit Sharma,174,87,87,1293862,975902,14871.98,16803.4,301701,96,24,A0394,3,7
A0139,BBMP,189,112,77,1656938,1163706,14794.09,18010.2,447300,88,35,A0359,2,5
A0140,Asha Verma,186,105,81,622726,630226,5930.72,6486.73,263542,101,35,A0240,2,2
A0141,Amit Patel,179,98,81,1770700,1266242,18068.37,19674.44,374114,132,37,A0038,2,6
A0142,KarnatakaGas,274,114,160,1467565,1866260,12873.38,15287.14,439461,65,31,A0070,3,7
A0143,Sneha Shetty,194,93,101,773919,1113560,8321.71,9324.33,179190,67,33,A0481,2,4
A0144,Nikhil Patel,189,96,93,1109676,715647,11559.12,13055.01,337731,53,36,A0432,3,5
A0145,HelpIndia,172,89,83,1266341,2153797,14228.55,16029.63,450268,53,32,A0377,2,5
A0146,Anjali Gupta,181,100,81,1069631,278649,10696.31,12294.61,297511,92,38,A0155,2,5
A0147,KarnatakaGas,273,95,178,960230,3506453,10107.68,12154.81,293701,128,30,A0019,2,4
A0148,Varun Nair,171,93,78,1647039,661437,17710.1,18931.48,461400,145,34,A0106,3,8
A0149,Anjali Gupta,179,99,80,1257924,847079,12706.3,14627.02,198204,59,37,A0057,2,7
A0150,Nova Solutions,180,96,84,1258279,765989,13107.07,14462.98,458146,51,31,A0204,3,3
A0151,Vikram Nair,205,105,100,1501871,1014006,14303.53,16504.08,391168,56,39,A0157,3,6
A0152,Sneha Rao,200,105,95,1547664,922346,14739.66,16464.51,317041,63,29,A0007,2,6
A0153,Divya Sharma,184,99,85,1486274,1194897,15012.87,17282.26,430599,67,34,A0265,2,5
A0154,Kavya Nair,204,117,87,2057785,581208,17587.91,20577.85,482775,87,33,A0166,3,7
A0155,Varun Singh,194,113,81,1550344,1286548,13719.86,16493.02,358462,69,44,A0288,4,6
A0156,Anjali Kulkarni,186,97,89,942985,1863073,9721.49,10838.91,303615,77,35,A0268,2,5
A0157,CityPharmacy56,280,101,179,2214184,960174,21922.61,25746.33,494275,55,39,A0061,2,8
A0158,CityWater,253,106,147,1863500,1566196,17580.19,19824.47,328577,210,38,A0039,2,10
A0159,Kavya Nair,164,96,68,920592,431990,9589.5,10228.8,282403,123,27,A0038,2,4
A0160,Neha Gupta,167,93,74,1005392,679032,10810.67,11828.14,343682,210,38,A0200,2,4
A0161,Nikhil Nair,168,95,73,852608,1383000,8974.82,10150.1,173008,274,29,A0136,2,4
A0162,Deepa Sharma,182,86,96,1070897,875652,12452.29,14278.63,340518,220,29,A0202,3,4
A0163,Divya Shetty,168,94,74,2395615,852433,25485.27,29945.19,477053,68,27,A0127,3,7
A0164,Pooja Gupta,183,107,76,2961191,173449,27674.68,31502.03,437580,113,35,A0234,3,12
A0165,Nikhil Verma,173,90,83,1268378,1265436,14093.09,16261.26,437247,150,25,A0426,3,3
A0166,Pooja Nair,175,103,72,1673140,457651,16244.08,17428.54,462606,169,32,A0053,3,7
A0167,IncomeTax,177,107,70,2724222,1245091,25460.02,29936.51,454575,135,36,A0265,3,8
A0168,BWSSB,262,117,145,997064,2215789,8521.91,9871.92,193959,98,37,A0184,3,6
A0169,KarnatakaTransport,186,92,94,720384,824754,7830.26,8785.17,195036,83,29,A0164,2,4
A0170,Neha Reddy,193,114,79,1000485,211153,8776.18,10004.85,392838,88,40,A0279,3,4
A0171,PassportOffice,159,89,70,759909,558707,8538.3,9742.42,303758,196,32,A0077,3,3
A0172,Neha Singh,170,87,83,1400257,1216415,16094.91,18424.43,477934,84,27,A0173,3,5
A0173,Manoj Rao,158,87,71,770036,547322,8850.99,10132.05,194439,72,22,A0249,3,4
A0174,Varun Shetty,181,105,76,685705,932914,6530.52,7453.32,177843,62,32,A0192,3,3
A0175,BESCOM,249,103,146,2262099,871177,21962.13,24323.65,449182,65,27,A0257,2,10
A0176,Rohan Patel,191,107,84,777453,309354,7265.92,8014.98,364276,153,41,A0266,2,3
A0177,Arjun Patel,163,85,78,4922335,5326554,57909.82,63926.43,231785,87,28,A0282,3,34
A0178,Pooja Patel,179,105,74,1204730,985531,11473.62,13385.89,292298,125,40,A0282,3,6
A0179,ABC Pvt Ltd,194,107,87,679470,1285627,6350.19,7152.32,192144,99,35,A0061,2,3
A0180,Pooja Sharma,161,84,77,743780,565596,8854.52,9414.94,152236,93,27,A0371,2,4
A0181,Vikram Gupta,165,94,71,1563792,716069,16636.09,18397.55,473512,70,36,A0367,2,6
A0182,Amit Singh,171,96,75,666199,772230,6939.57,7837.64,198235,110,41,A0070,3,3
A0183,Anjali Nair,214,106,108,1080759,1134598,10195.84,12866.18,181630,56,33,A0053,3,6
A0184,DailyNeeds74,269,84,185,904390,1808356,10766.55,11899.87,312385,142,24,A0425,2,3
A0185,Varun Patel,173,99,74,900420,683984,9095.15,10004.67,335950,136,32,A0337,2,4
A0186,Manoj Gupta,167,88,79,1249406,1234598,14197.8,15424.77,390007,116,29,A0095,2,5
A0187,MegaStore93,333,115,218,476373,1505312,4142.37,4624.98,102041,60,38,A0122,2,2
A0188,MegaStore37,267,97,170,858519,2533935,8850.71,9868.03,176223,53,31,A0271,2,5
A0189,Varun Verma,161,98,63,1379323,707259,14074.72,16227.33,396103,70,38,A0334,3,5
A0190,Deepa Verma,209,119,90,1233299,349216,10363.86,12210.88,252176,65,35,A0389,3,6
A0191,KarnatakaGas,252,87,165,1028015,1433717,11816.26,13179.68,474276,177,26,A0351,2,5
A0192,TechWorld81,275,97,178,301832,1706049,3111.67,3550.96,61740,121,30,A0360,3,1
A0193,Nikhil Sharma,167,97,70,1520531,555095,15675.58,17888.6,497319,59,28,A0447,3,3
A0194,Deepa Shetty,199,109,90,1876682,813516,17217.27,18766.82,462758,142,38,A0248,3,4
A0195,Rahul Patel,199,129,70,938817,893592,7277.65,8613.0,285410,61,38,A0212,4,3
A0196,Deepa Patel,183,103,80,246517,250924,2393.37,2708.98,4982,108,27,A0358,2,0
A0197,Rahul Kulkarni,179,100,79,1294006,743657,12940.06,15046.58,420293,201,31,A0187,3,4
A0198,KarnatakaGas,236,113,123,846884,1576732,7494.55,8730.76,201937,77,30,A0187,4,4
A0199,HelpIndia,181,97,84,390453,1115202,4025.29,4648.25,76275,135,34,A0228,2,2
A0200,CityWater,272,102,170,441464,1909677,4328.08,5016.64,122414,86,39,A0429,2,2
A0201,Deepa Rao,198,117,81,987881,415719,8443.43,9591.08,293648,75,30,A0064,3,4
A0202,Arjun Singh,195,101,94,1001028,335313,9911.17,11639.86,325577,54,24,A0440,2,4
A0203,Deepa Patel,173,87,86,1138367,943361,13084.68,14978.51,390338,69,28,A0133,3,4
A0204,Anjali Patel,184,107,77,644569,1345846,6024.01,7408.84,301295,53,38,A0490,3,2
A0205,MegaStore31,309,111,198,1799974,2303542,16215.98,19148.66,431717,66,36,A0482,4,8
A0206,Neha Shetty,161,82,79,1328117,807168,16196.55,17708.23,398409,163,30,A0454,2,5
A0207,HopeNGO,179,98,81,599648,1033048,6118.86,6814.18,166531,85,29,A0301,2,3
A0208,IncomeTax,186,107,79,1876794,574623,17540.13,21327.2,480208,67,28,A0130,3,6
A0209,Varun Kulkarni,188,98,90,1817726,1069680,18548.22,21900.31,491397,103,28,A0211,2,7
A0210,Divya Rao,195,96,99,1516727,724595,15799.24,18496.67,267124,88,30,A0093,2,9
A0211,DailyNeeds90,263,97,166,1102351,2237068,11364.44,13281.34,265401,106,32,A0475,3,5
A0212,Divya Sharma,194,115,79,960210,269693,8349.65,9699.09,182683,202,34,A0114,2,5
A0213,Deepa Rao,173,89,84,2558778,969364,28750.31,31204.61,490061,233,30,A0188,3,10
A0214,SmileTrust,175,95,80,1255350,1166303,13214.21,14944.64,336291,61,27,A0470,2,5
A0215,Pooja Patel,175,96,79,984901,416622,10259.39,11725.01,457888,68,31,A0091,2,3
A0216,Sneha Reddy,159,97,62,962968,905511,9927.51,10467.04,381997,88,28,A0440,3,3
A0217,Arjun Kulkarni,159,100,59,1067367,617738,10673.67,12129.17,359880,99,37,A0145,2,4
A0218,Prime Industries,169,89,80,477408,741678,5364.13,5751.9,195937,201,24,A0494,2,2
A0219,Amit Patel,206,124,82,946061,1241004,7629.52,8679.46,434582,58,40,A0473,3,3
A0220,Kavya Gupta,211,125,86,7658121,4622238,61264.97,75079.62,330064,69,48,A0183,3,58
A0221,Arjun Reddy,188,108,80,1345058,730798,12454.24,14011.02,450226,62,43,A0105,2,3
A0222,KarnatakaGas,234,106,128,1613972,1672541,15226.15,17933.02,333740,102,50,A0390,4,7
A0223,Arjun Sharma,195,105,90,1214190,734808,11563.71,13642.58,374855,101,38,A0007,3,4
A0224,Charan Reddy,190,108,82,1396542,492844,12930.94,14700.44,454085,88,37,A0151,3,6
A0225,Divya Reddy,178,97,81,897187,1398031,9249.35,10941.3,197822,71,34,A0458,3,4
A0226,Priya Kulkarni,165,89,76,495138,801874,5563.35,6267.57,155705,154,27,A0205,3,2
A0227,FreshMart44,275,98,177,882448,2768232,9004.57,10505.33,162605,57,26,A0164,2,5
A0228,Kiran Shetty,178,108,70,1301996,1145312,12055.52,13851.02,284675,59,30,A0335,3,6
A0229,Amit Patel,166,90,76,1683009,522917,18700.1,21037.61,424247,118,25,A0057,3,9
A0230,Asha Nair,175,102,73,431434,750500,4229.75,4741.03,108663,50,37,A0202,3,2
A0231,Manoj Sharma,212,119,93,1174100,606129,9866.39,11741.0,481881,86,34,A0374,3,4
A0232,SmileTrust,170,90,80,1418763,817621,15764.03,17515.59,475532,69,31,A0256,4,5
A0233,Rohan Kulkarni,191,105,86,822566,1217247,7833.96,9564.72,221774,64,36,A0392,2,4
A0234,ABC Pvt Ltd,192,97,95,4638464,6068285,47819.22,54570.16,183269,357,32,A0139,2,40
A0235,Anjali Kulkarni,193,112,81,758276,880078,6770.32,8066.77,190440,201,44,A0397,3,4
A0236,FreshMart31,307,108,199,1482130,1875942,13723.43,14821.3,390517,185,39,A0422,2,8
A0237,Anjali Nair,201,107,94,7310600,4861300,68323.36,78608.6,228754,203,32,A0326,3,51
A0238,CityPharmacy98,279,102,177,7187728,12341909,70467.92,85568.19,496809,73,36,A0023,2,47
A0239,Rohan Patel,197,104,93,771118,670472,7414.6,8117.03,290181,193,27,A0415,2,4
A0240,PowerGrid,252,94,158,321654,1889502,3421.85,3971.04,81449,115,28,A0357,3,1
A0241,Prime Industries,147,82,65,934321,1459981,11394.16,12798.92,323459,100,25,A0222,2,4
A0242,Meera Reddy,220,120,100,865615,668078,7213.46,8486.42,193404,80,41,A0326,3,4
A0243,Arjun Reddy,176,93,83,586590,1771477,6307.42,6983.21,138946,56,30,A0395,3,4
A0244,Sneha Shetty,186,113,73,1380777,848449,12219.27,13947.24,365680,233,43,A0116,3,6
A0245,FreshMart47,274,103,171,519754,1863792,5046.16,5711.58,138091,86,34,A0284,2,2
A0246,Amit Kulkarni,178,95,83,1164582,1340944,12258.76,13864.07,425314,96,26,A0380,3,3
A0247,ABC Pvt Ltd,184,106,78,1620425,537507,15287.03,16705.41,373544,160,34,A0354,2,6
A0248,Amit Patel,163,93,70,1855780,702457,19954.62,22631.46,243255,111,31,A0142,4,10
A0249,CityPharmacy65,298,117,181,1362872,3014441,11648.48,12619.19,271854,68,40,A0147,4,7
A0250,Asha Sharma,198,102,96,490732,252047,4811.1,5111.79,149022,92,31,A0112,3,3
A0251,BBMP,173,99,74,935040,552258,9444.85,11265.54,352236,65,31,A0310,3,3
A0252,DailyNeeds34,319,106,213,1602212,2630976,15115.21,17228.09,375579,79,36,A0389,2,6
A0253,Pooja Rao,179,94,85,900494,778423,9579.72,10720.17,309831,128,35,A0021,3,4
A0254,Manoj Patel,206,116,90,7581939,5051069,65361.54,75068.7,470454,54,35,A0415,2,58
A0255,Sneha Kulkarni,210,127,83,2575676,665684,20280.91,22997.11,487774,58,45,A0021,3,8
A0256,Anjali Rao,197,104,93,1161515,1063766,11168.41,12905.72,440888,53,33,A0006,2,4
A0257,SmartElectronics80,277,93,184,4594644,10769415,49404.77,57433.05,193256,91,39,A0007,2,37
A0258,Divya Sharma,180,99,81,1072246,891270,10830.77,12614.66,203147,79,31,A0375,3,7
A0259,Nikhil Kulkarni,170,94,76,831006,993575,8840.49,9892.93,459222,53,37,A0108,3,2
A0260,Nova Solutions,172,97,75,1297636,400898,13377.69,14259.74,390133,50,34,A0483,4,5
A0261,Asha Rao,176,93,83,251522,1114036,2704.54,3105.21,4992,136,37,A0440,3,0
A0262,ABC Pvt Ltd,201,108,93,2093850,2322176,19387.5,21810.94,388996,164,33,A0079,2,10
A0263,Rohan Verma,189,90,99,1392331,1256433,15470.34,16979.65,215399,81,32,A0254,3,8
A0264,Anjali Shetty,172,94,78,606039,1397915,6447.22,7671.38,314711,56,31,A0224,2,2
A0265,FreshMart46,316,96,220,681056,2808174,7094.33,7484.13,164506,123,28,A0369,2,3
A0266,Rohan Patel,178,92,86,838180,1955918,9110.65,10885.45,389605,78,38,A0142,3,3
A0267,Kiran Patel,209,116,93,1523725,410812,13135.56,15391.16,344659,112,35,A0188,3,8
A0268,TechWorld90,287,101,186,744371,1745780,7370.01,8757.31,198637,72,35,A0071,3,3
A0269,CityPharmacy89,276,96,180,1201111,2414911,12511.57,14130.72,423100,85,33,A0409,3,5
A0270,Prime Industries,188,112,76,1052154,653618,9394.23,11075.31,235216,60,43,A0099,2,5
A0271,CityPharmacy78,263,100,163,994734,2634326,9947.34,11842.07,328090,110,34,A0199,3,5
A0272,Arjun Shetty,171,90,81,1441777,194452,16019.74,19750.37,407382,88,30,A0350,2,5
A0273,Priya Shetty,192,102,90,1429752,1491430,14017.18,17651.26,340314,156,28,A0259,2,7
