account_id,account_name,total_transactions,total_sent_transactions,total_received_transactions,total_amount_sent,total_amount_received,average_transaction_amount,average_daily_amount,maximum_transaction_amount,minimum_transaction_amount,night_transactions,frequent_receiver,frequent_receiver_count,fraud_transactions
A0017,Manoj Gupta,186,93,93,1563264.0,932742.0,16809.29,18834.51,459282.0,186.0,41,A0198,2,6
A0018,Vikram Gupta,168,103,65,1287062.0,769077.0,12495.75,13548.02,319784.0,140.0,31,A0403,3,5
A0019,PowerGrid,241,88,153,1488147.0,847570.0,16910.76,18148.13,434273.0,97.0,19,A0122,2,6
A0020,HelpIndia,182,100,82,560825.0,271567.0,5608.25,6231.39,317689.0,63.0,30,A0144,3,1
A0021,TechWorld52,302,111,191,1227947.0,2833519.0,11062.59,12791.11,253582.0,107.0,36,A0350,2,7
A0022,KarnatakaGas,223,90,133,1311497.0,1646857.0,14572.19,16393.71,454124.0,56.0,36,A0313,2,4
A0023,BESCOM,268,117,151,987209.0,2663565.0,8437.68,9872.09,170775.0,158.0,46,A0239,2,5
A0024,BWSSB,246,92,154,5963326.0,8091052.0,64818.76,69341.0,198545.0,139.0,25,A0309,3,45
A0025,Priya Nair,173,110,63,1044533.0,394558.0,9495.75,11231.54,430963.0,63.0,37,A0104,2,5
A0026,Anjali Patel,186,111,75,2230426.0,843328.0,20093.93,23983.08,450153.0,96.0,35,A0216,2,8
A0027,Vikram Verma,186,107,79,1188953.0,1412381.0,11111.71,12923.4,354041.0,86.0,34,A0236,4,5
A0028,FreshMart33,269,100,169,924907.0,1189160.0,9249.07,11418.6,212254.0,74.0,38,A0021,2,4
A0029,Kiran Singh,186,104,82,2120090.0,1247266.0,20385.48,24091.93,463039.0,51.0,26,A0200,3,8
A0030,CityPharmacy49,291,94,197,1089457.0,1845237.0,11589.97,13618.21,296013.0,74.0,32,A0463,2,5
A0031,FreshMart85,277,103,174,1862080.0,1175571.0,18078.45,20689.78,408749.0,131.0,46,A0122,2,7
A0032,ABC Pvt Ltd,176,102,74,1725554.0,2017397.0,16917.2,20789.81,421906.0,62.0,40,A0104,3,6
A0033,ABC Pvt Ltd,164,87,77,936601.0,709899.0,10765.53,12007.71,366606.0,82.0,34,A0249,3,3
A0034,Arjun Singh,157,79,78,769213.0,480881.0,9736.87,10833.99,235975.0,162.0,21,A0475,3,3
A0035,CareFoundation,160,95,65,660447.0,1008811.0,6952.07,7769.96,433885.0,140.0,32,A0425,4,1
A0036,SmileTrust,177,101,76,1399939.0,466700.0,13860.78,15383.95,451018.0,87.0,45,A0440,2,6
A0037,TechWorld37,271,82,189,510292.0,2357760.0,6223.07,6459.39,179922.0,86.0,31,A0371,2,2
A0038,Kavya Kulkarni,183,102,81,989235.0,1176220.0,9698.38,11241.31,383936.0,89.0,40,A0043,3,4
A0039,Divya Singh,188,105,83,1340199.0,953734.0,12763.8,14257.44,414174.0,96.0,40,A0055,3,7
A0040,KarnatakaTransport,176,97,79,902176.0,581999.0,9300.78,10613.84,380909.0,94.0,29,A0349,2,3
A0041,Manoj Reddy,196,112,84,479909.0,1005314.0,4284.9,5332.32,124821.0,50.0,37,A0369,3,2
A0042,Pooja Kulkarni,174,91,83,1901474.0,1285350.0,20895.32,24377.87,499684.0,69.0,30,A0309,3,5
A0043,Deepa Verma,170,96,74,1105319.0,404999.0,11513.74,12704.82,333922.0,130.0,26,A0374,3,5
A0044,Rahul Sharma,196,118,78,1316491.0,543974.0,11156.7,12303.65,398816.0,172.0,35,A0114,3,4
A0045,CareFoundation,197,113,84,1757652.0,990888.0,15554.44,17576.52,495298.0,54.0,37,A0404,2,8
A0046,Kavya Kulkarni,177,91,86,534555.0,787867.0,5874.23,6599.44,192333.0,185.0,27,A0055,3,2
A0047,Pooja Singh,173,93,80,766824.0,2100565.0,8245.42,9466.96,192768.0,260.0,34,A0331,2,4
A0048,Nova Solutions,157,87,70,975804.0,761309.0,11216.14,12510.31,276573.0,118.0,29,A0304,2,5
A0049,Arjun Verma,173,86,87,421448.0,1021658.0,4900.56,5473.35,96176.0,97.0,23,A0072,3,3
A0050,SmartElectronics42,279,96,183,1508069.0,3082452.0,15709.05,18391.09,407873.0,58.0,28,A0215,3,6
A0051,Charan Rao,182,103,79,911215.0,781465.0,8846.75,9798.01,218271.0,71.0,45,A0057,3,5
A0052,Anjali Sharma,153,81,72,2198865.0,1982669.0,27146.48,30121.44,422387.0,193.0,25,A0167,2,10
A0053,FreshMart70,311,108,203,1075389.0,1808321.0,9957.31,11948.77,196069.0,96.0,36,A0184,2,5
A0054,Rohan Gupta,185,92,93,771247.0,762707.0,8383.12,9405.45,380061.0,135.0,32,A0187,2,3
A0055,TechWorld21,283,92,191,1058061.0,2402292.0,11500.66,13062.48,386687.0,166.0,34,A0187,3,5
A0056,BESCOM,256,87,169,4979683.0,10633310.0,57237.74,66395.77,438669.0,205.0,34,A0141,2,33
A0057,CityPharmacy40,255,94,161,625803.0,1789659.0,6657.48,7450.04,193089.0,107.0,33,A0426,2,3
A0058,FreshMart17,283,85,198,860717.0,1777084.0,10126.08,11325.22,324455.0,87.0,32,A0311,2,3
A0059,Varun Patel,202,113,89,1163168.0,720224.0,10293.52,11292.89,194177.0,62.0,43,A0198,3,6
A0060,Rahul Reddy,186,95,91,687853.0,1500665.0,7240.56,8287.39,350562.0,72.0,34,A0373,3,2
A0061,MegaStore95,272,74,198,331446.0,1393637.0,4479.0,5021.91,152203.0,59.0,26,A0294,3,1
A0062,Deepa Shetty,179,107,72,321233.0,492129.0,3002.18,3569.26,63604.0,57.0,27,A0447,3,1
A0063,Meera Verma,179,90,89,1123868.0,792949.0,12487.42,13874.91,433553.0,166.0,38,A0176,2,4
A0064,Deepa Kulkarni,173,96,77,921180.0,753078.0,9595.62,10588.28,420053.0,50.0,30,A0097,3,3
A0065,Pooja Verma,159,89,70,5605797.0,4478594.0,62986.48,70959.46,439171.0,138.0,31,A0316,2,41
A0066,Sneha Reddy,184,90,94,1435379.0,939018.0,15948.66,17720.73,423893.0,99.0,28,A0055,3,7
A0067,Arjun Shetty,185,97,88,1593540.0,1714235.0,16428.25,18747.53,392402.0,90.0,34,A0470,2,5
A0068,Anjali Patel,180,110,70,272129.0,188209.0,2473.9,2894.99,4922.0,77.0,46,A0460,2,0
A0069,Sneha Patel,179,112,67,825070.0,381058.0,7366.7,8505.88,307440.0,79.0,42,A0168,3,4
A0070,DailyNeeds20,310,114,196,1888284.0,1911430.0,16563.89,19466.85,452363.0,65.0,33,A0001,3,9
A0071,Charan Gupta,198,105,93,1039535.0,1458856.0,9900.33,11423.46,193736.0,59.0,35,A0492,2,5
A0072,Anjali Kulkarni,188,116,72,1125291.0,742643.0,9700.78,11845.17,378688.0,66.0,31,A0374,3,4
A0073,XYZ Logistics,174,102,72,1758446.0,720106.0,17239.67,20687.6,406969.0,52.0,32,A0472,3,7
A0074,XYZ Logistics,187,111,76,1272425.0,844002.0,11463.29,12598.27,443405.0,112.0,40,A0097,3,4
A0075,DailyNeeds91,297,119,178,1340514.0,2609920.0,11264.82,13272.42,469611.0,71.0,42,A0486,2,4
A0076,Arjun Kulkarni,189,98,91,1190207.0,962772.0,12144.97,13680.54,472777.0,78.0,29,A0187,3,7
A0077,Kiran Patel,177,92,85,1143454.0,1170289.0,12428.85,13452.4,232693.0,55.0,29,A0127,2,5
A0078,IncomeTax,175,77,98,1602427.0,2101896.0,20810.74,22891.81,493062.0,101.0,19,A0433,3,7
A0079,Manoj Shetty,201,109,92,6254277.0,6132452.0,57378.69,67250.29,382982.0,153.0,35,A0425,3,42
A0080,Anjali Singh,174,92,82,238102.0,1941295.0,2588.07,2976.28,4953.0,66.0,28,A0120,2,0
A0081,Arjun Reddy,179,111,68,1238582.0,591762.0,11158.4,12142.96,347911.0,94.0,48,A0425,3,6
A0082,Pooja Shetty,188,91,97,587540.0,1266374.0,6456.48,7165.12,383598.0,102.0,30,A0224,3,1
A0083,Varun Patel,182,106,76,933873.0,374907.0,8810.12,10986.74,352755.0,160.0,30,A0222,3,3
A0084,Sneha Sharma,189,108,81,1002946.0,879867.0,9286.54,10339.65,316761.0,170.0,31,A0263,3,4
A0085,Sneha Gupta,193,113,80,1903532.0,836367.0,16845.42,19035.32,406219.0,91.0,33,A0341,3,9
A0086,KarnatakaTransport,188,98,90,595991.0,1040671.0,6081.54,6622.12,182675.0,170.0,27,A0167,3,3
A0087,Deepa Singh,167,100,67,1294639.0,1344555.0,12946.39,14880.91,435425.0,76.0,38,A0291,3,5
A0088,Pooja Shetty,169,97,72,5490799.0,3467610.0,56606.18,63846.5,455192.0,118.0,38,A0105,2,38
A0089,Kavya Rao,179,96,83,1319040.0,1321403.0,13740.0,15337.67,475693.0,81.0,35,A0363,3,5
A0090,Kavya Shetty,165,82,83,839688.0,1211819.0,10240.1,11048.53,385395.0,85.0,32,A0243,2,3
A0091,Meera Shetty,171,90,81,1033818.0,824089.0,11486.87,12455.64,280412.0,103.0,35,A0389,3,5
A0092,Divya Singh,181,108,73,585518.0,478788.0,5421.46,6228.91,182626.0,171.0,42,A0430,3,3
A0093,Deepa Sharma,162,82,80,689504.0,1026340.0,8408.59,9072.42,298215.0,89.0,31,A0097,3,2
A0094,KarnatakaGas,265,106,159,963791.0,2610565.0,9092.37,10475.99,213296.0,72.0,32,A0449,2,4
A0095,TechWorld36,321,120,201,1110199.0,3461540.0,9251.66,11564.57,305442.0,52.0,37,A0353,3,5
A0096,Priya Gupta,163,79,84,1099592.0,460911.0,13918.89,15062.9,157781.0,193.0,30,A0288,2,8
A0097,CityPharmacy47,298,116,182,958166.0,1684959.0,8260.05,9039.3,383861.0,84.0,39,A0022,3,4
A0098,KarnatakaGas,273,117,156,542384.0,1386085.0,4635.76,5709.31,261797.0,89.0,38,A0238,2,1
A0099,CityPharmacy69,301,115,186,1519228.0,2268633.0,13210.68,15991.87,318250.0,68.0,46,A0132,2,6
A0100,IncomeTax,176,89,87,526691.0,674583.0,5917.88,6666.97,182079.0,122.0,23,A0066,3,2
A0101,Manoj Verma,180,92,88,214762.0,1428349.0,2334.37,2556.69,4986.0,78.0,32,A0040,3,0
A0102,Charan Gupta,170,97,73,1154232.0,824540.0,11899.3,13421.3,356224.0,75.0,35,A0287,2,3
A0103,Deepa Nair,177,107,70,863763.0,507160.0,8072.55,9705.2,301926.0,79.0,39,A0447,4,3
A0104,SmartElectronics36,292,108,184,983502.0,3165359.0,9106.5,10575.29,454270.0,100.0,34,A0437,2,3
A0105,Asha Sharma,201,117,84,2188419.0,1241038.0,18704.44,21884.19,469053.0,97.0,37,A0371,3,10
A0106,TechWorld5,283,108,175,699929.0,2714625.0,6480.82,7691.53,308003.0,114.0,34,A0095,2,2
A0107,Rohan Nair,185,102,83,1238673.0,717464.0,12143.85,14075.83,378435.0,127.0,33,A0288,2,5
A0108,PowerGrid,252,99,153,6724790.0,9245357.0,67927.17,80057.02,198770.0,121.0,41,A0016,3,53
A0109,ABC Pvt Ltd,162,87,75,6206066.0,4336951.0,71334.09,86195.36,444454.0,644.0,25,A0037,3,43
A0110,Vikram Reddy,178,90,88,650958.0,1084376.0,7232.87,8239.97,171081.0,74.0,22,A0260,2,3
A0111,Kiran Rao,187,110,77,710067.0,323588.0,6455.15,7245.58,239196.0,142.0,36,A0147,3,3
A0112,Rohan Gupta,171,94,77,1292319.0,1181261.0,13748.07,15570.11,372706.0,118.0,30,A0184,2,6
A0113,ABC Pvt Ltd,195,115,80,929528.0,1188843.0,8082.85,9295.28,347490.0,103.0,39,A0426,3,3
A0114,DailyNeeds65,291,103,188,1437432.0,3127600.0,13955.65,16714.33,286360.0,118.0,42,A0157,3,7
A0115,Nikhil Sharma,183,101,82,835797.0,1724859.0,8275.22,9497.69,203559.0,62.0,28,A0122,3,4
A0116,DailyNeeds1,314,100,214,1596217.0,1780244.0,15962.17,18560.66,488988.0,130.0,27,A0353,3,5
A0117,Meera Singh,211,107,104,393192.0,1276060.0,3674.69,4417.89,142091.0,55.0,35,A0271,2,1
A0118,ABC Pvt Ltd,175,104,71,1435670.0,1065137.0,13804.52,15605.11,252302.0,76.0,38,A0099,2,6
A0119,PassportOffice,185,99,86,1798433.0,1894443.0,18165.99,20912.01,458813.0,86.0,39,A0012,3,5
A0120,Charan Verma,182,101,81,944175.0,657050.0,9348.27,10490.83,359051.0,76.0,32,A0243,2,3
A0121,Vikram Kulkarni,194,100,94,858233.0,1679327.0,8582.33,10340.16,293292.0,78.0,39,A0454,3,3
A0122,MegaStore6,296,109,187,963011.0,2401865.0,8834.96,9927.95,338423.0,73.0,24,A0395,3,5
A0123,Charan Kulkarni,177,90,87,1037634.0,955199.0,11529.27,12970.42,360923.0,50.0,27,A0200,3,3
A0124,Kiran Verma,177,105,72,1442188.0,700041.0,13735.12,16388.5,372867.0,135.0,34,A0098,4,4
A0125,Manoj Reddy,190,107,83,919299.0,887560.0,8591.58,9779.78,193997.0,50.0,38,A0056,2,4
A0126,Rohan Sharma,189,104,85,1730862.0,1411377.0,16642.9,18813.72,488422.0,53.0,36,A0139,2,5
A0127,CityWater,255,106,149,1009239.0,2488409.0,9521.12,10736.59,350194.0,96.0,32,A0238,4,5
A0128,Varun Singh,167,97,70,1343788.0,1350336.0,13853.48,17009.97,446333.0,138.0,31,A0341,3,6
A0129,Varun Rao,176,98,78,1616435.0,746531.0,16494.23,17381.02,439257.0,53.0,34,A0394,3,5
A0130,SmartElectronics19,293,95,198,1162768.0,3069096.0,12239.66,14009.25,390705.0,50.0,22,A0244,2,5
A0131,Rahul Gupta,175,96,79,1317416.0,447184.0,13723.08,15142.71,480836.0,62.0,38,A0185,2,6
A0132,Kiran Verma,190,107,83,1873835.0,603351.0,17512.48,20820.39,494406.0,65.0,42,A0489,3,7
A0133,DailyNeeds98,281,122,159,2039041.0,954807.0,16713.45,19419.44,362570.0,68.0,40,A0050,3,8
A0134,Divya Singh,203,107,96,896153.0,1769205.0,8375.26,9957.26,162373.0,257.0,39,A0369,3,5
A0135,Rahul Kulkarni,191,107,84,255494.0,1217116.0,2387.79,2633.96,4999.0,53.0,34,A0315,2,0
A0136,ABC Pvt Ltd,192,106,86,629938.0,1177294.0,5942.81,6999.31,160105.0,67.0,31,A0481,2,3
A0137,Vikram Verma,166,90,76,481644.0,412984.0,5351.6,5873.71,106929.0,50.0,32,A0306,3,3
A0138,Amit Sharma,174,87,87,1293862.0,975902.0,14871.98,16803.4,301701.0,96.0,24,A0394,3,7
A0139,BBMP,189,112,77,1656938.0,1163706.0,14794.09,18010.2,447300.0,88.0,35,A0359,2,5
A0140,Asha Verma,186,105,81,622726.0,630226.0,5930.72,6486.73,263542.0,101.0,35,A0240,2,2
A0141,Amit Patel,179,98,81,1770700.0,1266242.0,18068.37,19674.44,374114.0,132.0,37,A0038,2,6
A0142,KarnatakaGas,274,114,160,1467565.0,1866260.0,12873.38,15287.14,439461.0,65.0,31,A0070,3,7
A0143,Sneha Shetty,194,93,101,773919.0,1113560.0,8321.71,9324.33,179190.0,67.0,33,A0481,2,4
A0144,Nikhil Patel,189,96,93,1109676.0,715647.0,11559.12,13055.01,337731.0,53.0,36,A0432,3,5
A0145,HelpIndia,172,89,83,1266341.0,2153797.0,14228.55,16029.63,450268.0,53.0,32,A0377,2,5
A0146,Anjali Gupta,181,100,81,1069631.0,278649.0,10696.31,12294.61,297511.0,92.0,38,A0155,2,5
A0147,KarnatakaGas,273,95,178,960230.0,3506453.0,10107.68,12154.81,293701.0,128.0,30,A0019,2,4
A0148,Varun Nair,171,93,78,1647039.0,661437.0,17710.1,18931.48,461400.0,145.0,34,A0106,3,8
A0149,Anjali Gupta,179,99,80,1257924.0,847079.0,12706.3,14627.02,198204.0,59.0,37,A0057,2,7
A0150,Nova Solutions,180,96,84,1258279.0,765989.0,13107.07,14462.98,458146.0,51.0,31,A0204,3,3
A0151,Vikram Nair,205,105,100,1501871.0,1014006.0,14303.53,16504.08,391168.0,56.0,39,A0157,3,6
A0152,Sneha Rao,200,105,95,1547664.0,922346.0,14739.66,16464.51,317041.0,63.0,29,A0007,2,6
A0153,Divya Sharma,184,99,85,1486274.0,1194897.0,15012.87,17282.26,430599.0,67.0,34,A0265,2,5
A0154,Kavya Nair,204,117,87,2057785.0,581208.0,17587.91,20577.85,482775.0,87.0,33,A0166,3,7
A0155,Varun Singh,194,113,81,1550344.0,1286548.0,13719.86,16493.02,358462.0,69.0,44,A0288,4,6
A0156,Anjali Kulkarni,186,97,89,942985.0,1863073.0,9721.49,10838.91,303615.0,77.0,35,A0268,2,5
A0157,CityPharmacy56,280,101,179,2214184.0,960174.0,21922.61,25746.33,494275.0,55.0,39,A0061,2,8
A0158,CityWater,253,106,147,1863500.0,1566196.0,17580.19,19824.47,328577.0,210.0,38,A0039,2,10
A0159,Kavya Nair,164,96,68,920592.0,431990.0,9589.5,10228.8,282403.0,123.0,27,A0038,2,4
A0160,Neha Gupta,167,93,74,1005392.0,679032.0,10810.67,11828.14,343682.0,210.0,38,A0200,2,4
A0161,Nikhil Nair,168,95,73,852608.0,1383000.0,8974.82,10150.1,173008.0,274.0,29,A0136,2,4
A0162,Deepa Sharma,182,86,96,1070897.0,875652.0,12452.29,14278.63,340518.0,220.0,29,A0202,3,4
A0163,Divya Shetty,168,94,74,2395615.0,852433.0,25485.27,29945.19,477053.0,68.0,27,A0127,3,7
A0164,Pooja Gupta,183,107,76,2961191.0,173449.0,27674.68,31502.03,437580.0,113.0,35,A0234,3,12
A0165,Nikhil Verma,173,90,83,1268378.0,1265436.0,14093.09,16261.26,437247.0,150.0,25,A0426,3,3
A0166,Pooja Nair,175,103,72,1673140.0,457651.0,16244.08,17428.54,462606.0,169.0,32,A0053,3,7
A0167,IncomeTax,177,107,70,2724222.0,1245091.0,25460.02,29936.51,454575.0,135.0,36,A0265,3,8
A0168,BWSSB,262,117,145,997064.0,2215789.0,8521.91,9871.92,193959.0,98.0,37,A0184,3,6
A0169,KarnatakaTransport,186,92,94,720384.0,824754.0,7830.26,8785.17,195036.0,83.0,29,A0164,2,4
A0170,Neha Reddy,193,114,79,1000485.0,211153.0,8776.18,10004.85,392838.0,88.0,40,A0279,3,4
A0171,PassportOffice,159,89,70,759909.0,558707.0,8538.3,9742.42,303758.0,196.0,32,A0077,3,3
A0172,Neha Singh,170,87,83,1400257.0,1216415.0,16094.91,18424.43,477934.0,84.0,27,A0173,3,5
A0173,Manoj Rao,158,87,71,770036.0,547322.0,8850.99,10132.05,194439.0,72.0,22,A0249,3,4
A0174,Varun Shetty,181,105,76,685705.0,932914.0,6530.52,7453.32,177843.0,62.0,32,A0192,3,3
A0175,BESCOM,249,103,146,2262099.0,871177.0,21962.13,24323.65,449182.0,65.0,27,A0257,2,10
A0176,Rohan Patel,191,107,84,777453.0,309354.0,7265.92,8014.98,364276.0,153.0,41,A0266,2,3
A0177,Arjun Patel,163,85,78,4922335.0,5326554.0,57909.82,63926.43,231785.0,87.0,28,A0282,3,34
A0178,Pooja Patel,179,105,74,1204730.0,985531.0,11473.62,13385.89,292298.0,125.0,40,A0282,3,6
A0179,ABC Pvt Ltd,194,107,87,679470.0,1285627.0,6350.19,7152.32,192144.0,99.0,35,A0061,2,3
A0180,Pooja Sharma,161,84,77,743780.0,565596.0,8854.52,9414.94,152236.0,93.0,27,A0371,2,4
A0181,Vikram Gupta,165,94,71,1563792.0,716069.0,16636.09,18397.55,473512.0,70.0,36,A0367,2,6
A0182,Amit Singh,171,96,75,666199.0,772230.0,6939.57,7837.64,198235.0,110.0,41,A0070,3,3
A0183,Anjali Nair,214,106,108,1080759.0,1134598.0,10195.84,12866.18,181630.0,56.0,33,A0053,3,6
A0184,DailyNeeds74,269,84,185,904390.0,1808356.0,10766.55,11899.87,312385.0,142.0,24,A0425,2,3
A0185,Varun Patel,173,99,74,900420.0,683984.0,9095.15,10004.67,335950.0,136.0,32,A0337,2,4
A0186,Manoj Gupta,167,88,79,1249406.0,1234598.0,14197.8,15424.77,390007.0,116.0,29,A0095,2,5
A0187,MegaStore93,333,115,218,476373.0,1505312.0,4142.37,4624.98,102041.0,60.0,38,A0122,2,2
A0188,MegaStore37,267,97,170,858519.0,2533935.0,8850.71,9868.03,176223.0,53.0,31,A0271,2,5
A0189,Varun Verma,161,98,63,1379323.0,707259.0,14074.72,16227.33,396103.0,70.0,38,A0334,3,5
A0190,Deepa Verma,209,119,90,1233299.0,349216.0,10363.86,12210.88,252176.0,65.0,35,A0389,3,6
A0191,KarnatakaGas,252,87,165,1028015.0,1433717.0,11816.26,13179.68,474276.0,177.0,26,A0351,2,5
A0192,TechWorld81,275,97,178,301832.0,1706049.0,3111.67,3550.96,61740.0,121.0,30,A0360,3,1
A0193,Nikhil Sharma,167,97,70,1520531.0,555095.0,15675.58,17888.6,497319.0,59.0,28,A0447,3,3
A0194,Deepa Shetty,199,109,90,1876682.0,813516.0,17217.27,18766.82,462758.0,142.0,38,A0248,3,4
A0195,Rahul Patel,199,129,70,938817.0,893592.0,7277.65,8613.0,285410.0,61.0,38,A0212,4,3
A0196,Deepa Patel,183,103,80,246517.0,250924.0,2393.37,2708.98,4982.0,108.0,27,A0358,2,0
A0197,Rahul Kulkarni,179,100,79,1294006.0,743657.0,12940.06,15046.58,420293.0,201.0,31,A0187,3,4
A0198,KarnatakaGas,236,113,123,846884.0,1576732.0,7494.55,8730.76,201937.0,77.0,30,A0187,4,4
A0199,HelpIndia,181,97,84,390453.0,1115202.0,4025.29,4648.25,76275.0,135.0,34,A0228,2,2
A0200,CityWater,272,102,170,441464.0,1909677.0,4328.08,5016.64,122414.0,86.0,39,A0429,2,2
A0201,Deepa Rao,198,117,81,987881.0,415719.0,8443.43,9591.08,293648.0,75.0,30,A0064,3,4
A0202,Arjun Singh,195,101,94,1001028.0,335313.0,9911.17,11639.86,325577.0,54.0,24,A0440,2,4
A0203,Deepa Patel,173,87,86,1138367.0,943361.0,13084.68,14978.51,390338.0,69.0,28,A0133,3,4
A0204,Anjali Patel,184,107,77,644569.0,1345846.0,6024.01,7408.84,301295.0,53.0,38,A0490,3,2
A0205,MegaStore31,309,111,198,1799974.0,2303542.0,16215.98,19148.66,431717.0,66.0,36,A0482,4,8
A0206,Neha Shetty,161,82,79,1328117.0,807168.0,16196.55,17708.23,398409.0,163.0,30,A0454,2,5
A0207,HopeNGO,179,98,81,599648.0,1033048.0,6118.86,6814.18,166531.0,85.0,29,A0301,2,3
A0208,IncomeTax,186,107,79,1876794.0,574623.0,17540.13,21327.2,480208.0,67.0,28,A0130,3,6
A0209,Varun Kulkarni,188,98,90,1817726.0,1069680.0,18548.22,21900.31,491397.0,103.0,28,A0211,2,7
A0210,Divya Rao,195,96,99,1516727.0,724595.0,15799.24,18496.67,267124.0,88.0,30,A0093,2,9
A0211,DailyNeeds90,263,97,166,1102351.0,2237068.0,11364.44,13281.34,265401.0,106.0,32,A0475,3,5
A0212,Divya Sharma,194,115,79,960210.0,269693.0,8349.65,9699.09,182683.0,202.0,34,A0114,2,5
A0213,Deepa Rao,173,89,84,2558778.0,969364.0,28750.31,31204.61,490061.0,233.0,30,A0188,3,10
A0214,SmileTrust,175,95,80,1255350.0,1166303.0,13214.21,14944.64,336291.0,61.0,27,A0470,2,5
A0215,Pooja Patel,175,96,79,984901.0,416622.0,10259.39,11725.01,457888.0,68.0,31,A0091,2,3
A0216,Sneha Reddy,159,97,62,962968.0,905511.0,9927.51,10467.04,381997.0,88.0,28,A0440,3,3
A0217,Arjun Kulkarni,159,100,59,1067367.0,617738.0,10673.67,12129.17,359880.0,99.0,37,A0145,2,4
A0218,Prime Industries,169,89,80,477408.0,741678.0,5364.13,5751.9,195937.0,201.0,24,A0494,2,2
A0219,Amit Patel,206,124,82,946061.0,1241004.0,7629.52,8679.46,434582.0,58.0,40,A0473,3,3
A0220,Kavya Gupta,211,125,86,7658121.0,4622238.0,61264.97,75079.62,330064.0,69.0,48,A0183,3,58
A0221,Arjun Reddy,188,108,80,1345058.0,730798.0,12454.24,14011.02,450226.0,62.0,43,A0105,2,3
A0222,KarnatakaGas,234,106,128,1613972.0,1672541.0,15226.15,17933.02,333740.0,102.0,50,A0390,4,7
A0223,Arjun Sharma,195,105,90,1214190.0,734808.0,11563.71,13642.58,374855.0,101.0,38,A0007,3,4
A0224,Charan Reddy,190,108,82,1396542.0,492844.0,12930.94,14700.44,454085.0,88.0,37,A0151,3,6
A0225,Divya Reddy,178,97,81,897187.0,1398031.0,9249.35,10941.3,197822.0,71.0,34,A0458,3,4
A0226,Priya Kulkarni,165,89,76,495138.0,801874.0,5563.35,6267.57,155705.0,154.0,27,A0205,3,2
A0227,FreshMart44,275,98,177,882448.0,2768232.0,9004.57,10505.33,162605.0,57.0,26,A0164,2,5
A0228,Kiran Shetty,178,108,70,1301996.0,1145312.0,12055.52,13851.02,284675.0,59.0,30,A0335,3,6
A0229,Amit Patel,166,90,76,1683009.0,522917.0,18700.1,21037.61,424247.0,118.0,25,A0057,3,9
A0230,Asha Nair,175,102,73,431434.0,750500.0,4229.75,4741.03,108663.0,50.0,37,A0202,3,2
A0231,Manoj Sharma,212,119,93,1174100.0,606129.0,9866.39,11741.0,481881.0,86.0,34,A0374,3,4
A0232,SmileTrust,170,90,80,1418763.0,817621.0,15764.03,17515.59,475532.0,69.0,31,A0256,4,5
A0233,Rohan Kulkarni,191,105,86,822566.0,1217247.0,7833.96,9564.72,221774.0,64.0,36,A0392,2,4
A0234,ABC Pvt Ltd,192,97,95,4638464.0,6068285.0,47819.22,54570.16,183269.0,357.0,32,A0139,2,40
A0235,Anjali Kulkarni,193,112,81,758276.0,880078.0,6770.32,8066.77,190440.0,201.0,44,A0397,3,4
